entry_time,exit_time,pnl,reason
1701357960000,1701357960000,29.450600312149618,TP Hit
1701364500000,1701364500000,-6.327938366273884,SL Hit
1701368280000,1701368280000,-4.421844124412019,SL Hit
1701368520000,1701368520000,12.651807637761522,TP Hit
1701374820000,1701374820000,10.989556381078728,TP Hit
1701385200000,1701385200000,-3.0921361801920284,SL Hit
1701391500000,1701391500000,-4.777201706441701,SL Hit
1701392580000,1701392580000,-1.8702332267457678,SL Hit
1701412020000,1701412020000,-8.980894732871093,SL Hit
1701414000000,1701414000000,-0.783351100209984,SL Hit
1701434940000,1701434940000,-4.516846560149133,SL Hit
1701437760000,1701437760000,-7.567481193742424,SL Hit
1701438180000,1701438180000,5.228854544249771,TP Hit
1701438900000,1701438900000,10.321347521552525,TP Hit
1701439800000,1701439800000,5.666586080486013,TP Hit
1701444120000,1701444120000,-21.5632438658904,SL Hit
1701445140000,1701445140000,-20.858836338786205,SL Hit
1701445680000,1701445680000,-15.213060180230968,SL Hit
1701654540000,1701654540000,-8.47069759191072,SL Hit
1701686640000,1701686640000,-1.247809897740808,SL Hit
1701693780000,1701693780000,-3.5570556536185904,SL Hit
1701706740000,1701706740000,-6.441793071651773,SL Hit
1701706800000,1701706800000,-7.350321577087016,SL Hit
1701706980000,1701706980000,-7.309078298610984,SL Hit
1701714360000,1701714360000,-2.791459650903562,SL Hit
1701714420000,1701714420000,-2.333141104409151,SL Hit
1701715560000,1701715560000,7.7114385143941035,TP Hit
1701718320000,1701718320000,-3.326848552795127,SL Hit
1701720300000,1701720300000,-5.7634098479829845,SL Hit
1701720360000,1701720360000,-7.271380573129136,SL Hit
1701720660000,1701720660000,-6.215903264150256,SL Hit
1701721200000,1701721200000,12.250303640175844,TP Hit
1701736980000,1701736980000,6.179948414770479,TP Hit
1701739080000,1701739080000,-1.0488530276561505,SL Hit
1701740940000,1701740940000,-2.114592706922849,SL Hit
1701742140000,1701742140000,-1.3015876944264164,SL Hit
1701742260000,1701742260000,-2.351901450969308,SL Hit
1701753300000,1701753300000,-2.2663196256435185,SL Hit
1701768720000,1701768720000,5.0,TP Hit
1701768900000,1701768900000,5.0,TP Hit
1701774240000,1701774240000,5.043174107420782,TP Hit
1701777720000,1701777720000,14.080263667114195,TP Hit
1701779280000,1701779280000,-1.161468366648478,SL Hit
1701785460000,1701785460000,-2.24006772382927,SL Hit
1701789900000,1701789900000,46.596312206209404,TP Hit
1701803280000,1701803280000,9.972116032782651,TP Hit
1701807960000,1701807960000,7.8943828627161565,TP Hit
1701808740000,1701808740000,-5.5485718849849945,SL Hit
1701808980000,1701808980000,-10.068741191353183,SL Hit
1701819180000,1701819180000,-1.144410727192735,SL Hit
1701819240000,1701819240000,-0.5427370144461747,SL Hit
1701829020000,1701829020000,9.039621928219276,TP Hit
1701829380000,1701829380000,-2.332145688644232,SL Hit
1701830520000,1701830520000,2.0,Flip to Short
1701830640000,1701830640000,5.0,TP Hit
1701831360000,1701831360000,-0.5326407263346482,SL Hit
1701832080000,1701832080000,-4.0594728935320745,SL Hit
1701832560000,1701832560000,5.0,TP Hit
1701832920000,1701832920000,-3.2795357291070104,SL Hit
1701835200000,1701835200000,-1.1686472314831917,SL Hit
1701836640000,1701836640000,-2.43817497542841,SL Hit
1701837000000,1701837000000,5.0,TP Hit
1701837840000,1701837840000,-0.5269375588213734,SL Hit
1701838800000,1701838800000,-0.9126081017893739,SL Hit
1701839280000,1701839280000,5.0,TP Hit
1701844260000,1701844260000,-0.7026682580362831,SL Hit
1701845040000,1701845040000,5.0,TP Hit
