exit_time,pnl,reason
1701100800000,15.336465136111656,TP Hit
1701107340000,5.0,TP Hit
1701109980000,6.284489299207053,TP Hit
1701117840000,5.0,TP Hit
1701186960000,-6.687151073150744,SL Hit (Same Bar)
1701273900000,24.30861676888162,TP Hit
1701282600000,-4.735408149241266,SL Hit
1701286500000,-9.710152033250779,SL Hit
1701357960000,29.450600312149618,TP Hit
1701364500000,-3.8279383662738837,SL Hit (Same Bar)
1701368280000,-4.921844124412019,SL Hit
1701374820000,5.989556381078728,TP Hit (Same Bar)
1701444120000,-24.0632438658904,SL Hit
1701714360000,-5.291459650903562,SL Hit (Same Bar)
1701718320000,-0.32684855279512703,SL Hit (Same Bar)
1701720300000,0.7365901520170155,SL Hit (Same Bar)
1701789900000,49.596312206209404,TP Hit
1701803280000,8.972116032782651,TP Hit (Same Bar)
1701807900000,5.0,TP Hit (Same Bar)
1701808740000,-5.0485718849849945,SL Hit
1701875940000,37.159247833704285,TP Hit
1701877860000,34.69824632793461,TP Hit
1701879180000,-6.966884627454419,SL Hit (Same Bar)
1701881580000,23.645787855173694,TP Hit
1701883560000,-3.108448624578159,SL Hit (Same Bar)
1701889140000,-5.172161179074465,SL Hit (Same Bar)
1701961920000,70.17347137909383,TP Hit
1701973860000,-0.9053739999653772,SL Hit (Same Bar)
1701975660000,-2.496425601417286,SL Hit (Same Bar)
1702054200000,6.691930953187693,TP Hit (Same Bar)
1702311420000,-13.452421484111255,SL Hit (Same Bar)
1702314000000,9.0589546400588,TP Hit (Same Bar)
1702322040000,5.0,TP Hit (Same Bar)
1702323780000,-7.9510631859157,SL Hit
1702327320000,-4.093018311359629,SL Hit
1702392720000,-9.414870780710771,SL Hit (Same Bar)
1702406460000,5.0,TP Hit (Same Bar)
1702409400000,-4.914795618788048,SL Hit
1702483920000,-3.095379716010939,SL Hit (Same Bar)
1702487340000,-2.434568278869847,SL Hit (Same Bar)
1702490520000,-3.656809339809115,SL Hit
1702492800000,-6.050493336726504,SL Hit
1702500600000,-31.68062221256696,SL Hit
1702565100000,-13.867118659538392,SL Hit (Same Bar)
1702567020000,-7.639271821091825,SL Hit (Same Bar)
1702569780000,40.361584151527495,TP Hit
1702571340000,-7.943832875163935,SL Hit (Same Bar)
1702574280000,19.29498995724134,TP Hit
1702580940000,-18.82503566806554,SL Hit
1702651800000,-19.34119143486896,SL Hit (Same Bar)
1702653840000,10.460770627119928,TP Hit (Same Bar)
1702655580000,-8.59964281716384,SL Hit
1702656720000,-6.819183729530778,SL Hit (Same Bar)
1702657800000,-17.106081051417277,SL Hit
1702911600000,-17.71111925400328,SL Hit
1702915140000,-3.4318976737195044,SL Hit (Same Bar)
1702919280000,-6.132728071905149,SL Hit (Same Bar)
1702922400000,18.30175840857555,TP Hit
1702925760000,7.800708735434455,TP Hit
1702929360000,7.540559889777796,TP Hit
1702999560000,-9.882275151925569,SL Hit
1703001840000,-16.816800187785702,SL Hit
1703004660000,-19.42875831061974,SL Hit
1703007000000,-6.607836950402998,SL Hit
1703011860000,11.879649409049307,TP Hit
1703013120000,5.529140779181034,TP Hit (Same Bar)
1703094660000,-6.418146594318387,SL Hit
1703100120000,-3.688181857316522,SL Hit (Same Bar)
1703104560000,-36.70558482233173,SL Hit
1703172300000,22.376432072516764,TP Hit
1703174640000,38.96126561028359,TP Hit
1703176380000,18.23838531630463,TP Hit
1703177760000,-10.303160751405812,SL Hit (Same Bar)
1703181300000,-7.102260888997989,SL Hit (Same Bar)
1703183700000,13.475360246491618,TP Hit (Same Bar)
1703185140000,-9.147386439100956,SL Hit
1703258700000,-14.886185633506102,SL Hit (Same Bar)
1703604300000,-13.520778789708856,SL Hit
1703606880000,-6.374276581234881,SL Hit
1703611080000,-1.4861100825073663,SL Hit (Same Bar)
1703612160000,6.883427847395069,TP Hit (Same Bar)
1703616180000,14.245931405617739,TP Hit
1703692620000,-7.623678160722193,SL Hit (Same Bar)
1703777400000,-5.415932209616585,SL Hit
1703785680000,5.1868811594031285,TP Hit
1703788320000,17.04910621145973,TP Hit
1703788560000,-4.881711582878779,SL Hit
1703790060000,-1.8608517120228498,SL Hit (Same Bar)
1703793060000,-4.667907644980005,SL Hit
1703796000000,-4.28731889204937,SL Hit (Same Bar)
1703861400000,-8.89991325551091,SL Hit (Same Bar)
1703863980000,-10.384084231234738,SL Hit
1704209340000,11.9478396497434,TP Hit (Same Bar)
1704216900000,-7.975933076631918,SL Hit (Same Bar)
1704293340000,15.986602200980997,TP Hit (Same Bar)
1704296160000,-4.971853543895122,SL Hit (Same Bar)
1704297540000,-4.831242969958112,SL Hit (Same Bar)
1704301200000,-8.214424847072223,SL Hit
1704310440000,-10.041293194015452,SL Hit
1704312000000,9.528881772901514,TP Hit (Same Bar)
1704382020000,-9.603214168928389,SL Hit (Same Bar)
1704383640000,-8.9811548181533,SL Hit
1704388500000,-19.73218005484523,SL Hit
1704391140000,8.845203959164792,TP Hit (Same Bar)
1704394560000,34.814989530830644,TP Hit
1704395400000,-12.18229984640493,SL Hit
1704400320000,23.388035333613516,TP Hit
1704468840000,-19.19340520442347,SL Hit
1704470460000,-8.400604963375372,SL Hit (Same Bar)
1704728280000,-7.29729566424794,SL Hit (Same Bar)
1704735420000,-2.784592947602505,SL Hit (Same Bar)
1704746640000,5.777134640782606,TP Hit (Same Bar)
1704815460000,-5.083705860743066,SL Hit (Same Bar)
1704824820000,10.301618363082525,TP Hit
1704830520000,-4.220198409442673,SL Hit (Same Bar)
1704913440000,-5.040399157980573,SL Hit (Same Bar)
1704916260000,-3.2546913645637687,SL Hit (Same Bar)
1704919140000,-3.9935127278367872,SL Hit (Same Bar)
1704921240000,-3.6775240097776987,SL Hit (Same Bar)
1704984960000,-14.638462960334437,SL Hit (Same Bar)
1704991200000,-12.141646648444294,SL Hit (Same Bar)
1704993240000,-10.41506237314752,SL Hit (Same Bar)
1705001400000,-11.106252775651228,SL Hit (Same Bar)
1705003800000,-5.163268693577265,SL Hit
1705072740000,-20.63676761379611,SL Hit (Same Bar)
1705075080000,-6.4410716659913305,SL Hit (Same Bar)
