expansion_mult,trades,win_rate,total_pnl,avg_pnl,max_dd
1.5,2730,41.794871794871796,-58796.604139409064,-21.537217633483174,59758.41995301649
1.4,2368,42.69425675675676,-58484.80694555063,-24.69797590606023,59577.07243770796
1.3,1964,44.70468431771894,-58579.96164180907,-29.826864379739852,59188.838143047644
1.2,1603,47.411104179663134,-59143.75396084122,-36.89566685018167,59475.5973115427
1.1,1333,51.012753188297076,-58161.90626635709,-43.63233778421387,58826.012195501746
1.0,1159,54.7886108714409,-58312.016071967424,-50.31235208970442,59024.5199949133
0.9,1043,56.85522531160115,-58643.08117298992,-56.22538942760299,59198.03337752907
0.8,986,57.910750507099394,-58989.8783144882,-59.827462793598585,59352.7135144915
